column,total_rows,actual_count,fallback_count,actual_rate,fallback_rate,top_source,source_counts
Market_Value_Diff,379,0,0,0.0,0.0,derived,"{""derived"": 379}"
Home_Manager_Tenure,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Away_Manager_Tenure,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Home_Current_Points,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Away_Current_Points,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Home_Rolling_Points_5,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Away_Rolling_Points_5,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Home_Rolling_xG,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Away_Rolling_xG,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Home_AGI,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Home_KAGI,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Away_AGI,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Away_KAGI,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
H2H_Score_Avg,379,0,379,0.0,1.0,fallback_league_median,"{""fallback_league_median"": 379}"
Capacity,379,0,379,0.0,1.0,fallback_league_median,"{""fallback_league_median"": 379}"
Goal_Diff,379,0,0,0.0,0.0,prediction_placeholder,"{""prediction_placeholder"": 379}"
Match_Result,379,0,0,0.0,0.0,prediction_placeholder,"{""prediction_placeholder"": 379}"
Home_Prev_Total Shots,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Home_Prev_Shots on Target,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Home_Prev_Total Shots Against,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Home_Prev_Total Goals,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Home_Prev_Total Goals Against,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Home_Prev_Clean Sheets,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Home_Prev_Total Passes,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Home_Prev_Total Dribbles,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Home_Prev_Total Through Passes,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Home_Prev_Total Crosses,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Home_Prev_Total Clearances,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Home_Prev_Total Tackles,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Home_Prev_Total Blocks,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Home_Prev_Total Fouls,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Home_Prev_Total Interceptions,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Home_Prev_Aerial Duels Won,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
Home_Prev_Yellow Cards,379,0,379,0.0,1.0,fallback_team_median,"{""fallback_team_median"": 379}"
