match_id,section,match_date,feature_source,feature_as_of,feature_snapshot_path,fallback_reason,provenance_summary
2026_special-100yj1-6-kasw-vs-mcd,6,2026-03-14,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-6-kyot-vs-c-os,6,2026-03-14,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-6-mito-vs-FCtk,6,2026-03-14,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-6-nago-vs-kobe,6,2026-03-14,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-6-shim-vs-okay,6,2026-03-14,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-6-hiro-vs-g-os,6,2026-03-14,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-6-kasm-vs-ka-f,6,2026-03-14,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-6-tk-v-vs-uraw,6,2026-03-14,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-6-ngsk-vs-fuku,6,2026-03-15,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-7-c-os-vs-okay,7,2026-03-18,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
2026_special-100yj1-7-chib-vs-FCtk,7,2026-03-18,reconstructed_pre_match,,,,"{""actual_schedule"": 6, ""derived_from_pre_match_formation_prior"": 13, ""excluded_post_match_feature"": 2, ""historical_league_prior"": 3, ""historical_team_prior"": 107, ""post_match_target"": 5, ""reconstructed_pre_match_results"": 19}"
