column,total_rows,actual_count,fallback_count,actual_rate,fallback_rate,top_source,source_counts
Home_Prev_Recoveries,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 8}"
Home_Prev_Expected Goals,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 8}"
Home_Prev_Expected Goals Against,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 8}"
Home_Prev_Avg Distance Covered,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 8}"
Home_Prev_Avg Sprints,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 8}"
Home_Prev_Distance Covered (In Possession),10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 8}"
Home_Prev_Sprints (In Possession),10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 8}"
Home_Prev_Distance Covered (Out of Possession),10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 8}"
Home_Prev_Sprints (Out of Possession),10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 8}"
Away_Prev_Total Shots,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 9}"
Away_Prev_Shots on Target,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 9}"
Away_Prev_Total Shots Against,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 9}"
Away_Prev_Total Goals,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 9}"
Away_Prev_Total Goals Against,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 9}"
Away_Prev_Clean Sheets,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 9}"
Away_Prev_Total Passes,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 9}"
Away_Prev_Total Dribbles,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 9}"
Away_Prev_Total Through Passes,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 9}"
Away_Prev_Total Crosses,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 9}"
Away_Prev_Total Clearances,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 9}"
Away_Prev_Total Tackles,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 9}"
Away_Prev_Total Blocks,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 9}"
Away_Prev_Total Fouls,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 9}"
Away_Prev_Total Interceptions,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 9}"
Away_Prev_Aerial Duels Won,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 9}"
Away_Prev_Yellow Cards,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 9}"
Away_Prev_Red Cards,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 9}"
Away_Prev_Average Possession,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 9}"
Away_Prev_Chances Created,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 9}"
Away_Prev_Duels Won,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 9}"
Away_Prev_Recoveries,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 9}"
Away_Prev_Expected Goals,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 9}"
Away_Prev_Expected Goals Against,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 9}"
Away_Prev_Avg Distance Covered,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 9}"
Away_Prev_Avg Sprints,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 9}"
Away_Prev_Distance Covered (In Possession),10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 9}"
Away_Prev_Sprints (In Possession),10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 9}"
Away_Prev_Distance Covered (Out of Possession),10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 9}"
Away_Prev_Sprints (Out of Possession),10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 9}"
is_Mirror_Game,10,0,10,0.0,1.0,fallback_league_median,"{""fallback_league_median"": 10}"
Home_DF_count,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 8}"
Home_MF_count,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 8}"
Home_FW_count,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 8}"
Away_DF_count,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 9}"
Away_MF_count,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 9}"
Away_FW_count,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 1, ""fallback_team_median"": 9}"
Home_Midfield_Advantage,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 8}"
Defense_Margin_Home,10,0,10,0.0,1.0,fallback_league_median,"{""fallback_league_median"": 10}"
Defense_Margin_Away,10,0,10,0.0,1.0,fallback_league_median,"{""fallback_league_median"": 10}"
Backline_Matchup,10,10,0,1.0,0.0,actual_2026_special_derived,"{""actual_2026_special_derived"": 10}"
Home_Prev_Goal PK,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 8}"
Home_Prev_Goal Direct Set Piece,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 8}"
Home_Prev_Goal Indirect Set Piece,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 8}"
Home_Prev_Goal Cross,10,0,10,0.0,1.0,fallback_team_median,"{""fallback_league_median"": 2, ""fallback_team_median"": 8}"
